Data Source,WR Web Orders by Week 2023.xlsx,,,GA4 + GTM,
Total,699,"$235,076",,506,197202.5
,Order,Revenue,,Order,Revenue
,DC5J3,"$1,171",,DN9P4,79.05
,DE055,$18,,DN9P3,26.34
,DE6P2,$110,,DN9P2,39.24
,DE8D0,$117,,DN9P1,141
,DF048,$230,,DN9P0,38.06
,DF0N4,$65,,DN9N9,215.7
,DF2R8,$41,,DN9N8,250.39
,DF5K7,$59,,DN9N7,63.56
,DF6C5,$12,,DN9Q2,84.2
,DF7L6,"$1,760",,DN9Q1,56.1
,DF852,$88,,DN9Q0,270.64
,DF8L9,$124,,DN9P8,284.46
,DG6N5,$47,,DN9P5,201.73
,DG6U7,$6,,DP0K1,552.52
,DH3W0,$468,,DP0K0,94.35
,DH7W2,$71,,DP0J9,0
,DH877,$82,,DP0J8,106.7
,DJ1P1,$439,,DP0J7,119.44
,DJ4H2,$25,,DP0J6,43.14
,DK398,$110,,DP0J5,288.43
,DK3Q1,$25,,DP0J4,57.52
,DK599,$19,,DP0J3,69.88
,DK5B9,$62,,DP0J2,148.9
,DK5L3,"$1,281",,DP0J1,77.04
,DK5X4,$10,,DP0H8,8.6
,DK6Y0,$135,,DP0H7,259.32
,DK8W1,$7,,DP0H6,198
,DL043,$97,,DP0H0,84.45
,DL1D5,$60,,DP0G6,133.84
,DL1E3,$138,,DP0F9,501.9
,DL3L0,$50,,DP0F8,77.82
,DL7E7,$155,,DP0F4,308.48
,DL8B0,$156,,DP0F1,693.27
,DL8N5,$87,,DP0E8,445.23
,DL8P0,$91,,DP0E7,2649.97
,DL8Z9,"$1,820",,DP0E6,89.16
,DL942,$198,,DP0E4,271.57
,DM009,$25,,DP0E2,51.33
,DM031,$48,,DP0E0,215
,DM0B1,$13,,DP0D9,18.24
,DM174,$94,,DP0D8,93.96
,DM199,$98,,DP0D7,329.15
,DM1A0,$400,,DP0D1,22.38
,DM282,$118,,DP0C7,327.46
,DM2N6,$8,,DP0C6,0
,DM2T5,$24,,DP0C4,319.08
,DM346,$165,,DP0B8,31.98
,DM3R3,$138,,DP0B7,1184.03
,DM3Y1,$50,,DP0B4,291.6
,DM4D0,$99,,DP0A9,2311.78
,DM4E5,$7,,DN9Z8,145.49
,DM4G0,$46,,DN9Z7,253.29
,DM4H1,$11,,DN9Z5,928.8
,DM5E2,$64,,DN9Z4,401.13
,DM5H0,$161,,DN9Z3,11473.98
,DM5P4,$215,,DN9Z2,42.3
,DM5Q8,$76,,DN9Z1,26
,DM6E4,$125,,DN9Y7,1877.76
,DM6P3,$26,,DN9Y3,184.66
,DM7K5,$43,,DN9Y1,374.1
,DM7N7,$228,,DN9X7,97.4
,DM7P1,$98,,DN9X2,743.02
,DM7Q9,$206,,DN9W0,487.52
,DM7W3,$69,,DN9V6,599.4
,DM843,$653,,DN9V2,19
,DM8A3,$511,,DN9U7,500.52
,DM8D2,$863,,DN9U6,1169.52
,DM8J4,$64,,DN9U5,141.76
,DM8J9,$25,,DN9U4,115.72
,DM8K3,$67,,DN9T9,704.59
,DM8L4,$92,,DN9T8,341
,DM8P4,$188,,DN9T7,532.22
,DM905,$114,,DN9T2,530.65
,DM963,$348,,DN9T1,198.77
,DM964,$48,,DN9T0,156
,DM972,$11,,DN9Q8,220.68
,DM9D3,$128,,DN9Q5,4022.1
,DM9D4,$118,,DN9Q3,5.02
,DM9D5,$43,,DN995,114.28
,DM9Z2,$54,,DN992,0
,DN035,$17,,DN987,0
,DN0B1,$64,,DN985,239.4
,DN0C6,$226,,DN982,163.95
,DN0R7,$224,,DN976,354.24
,DN0U3,$130,,DN975,405.34
,DN0W0,$471,,DN973,398.9
,DN116,$35,,DN963,128.07
,DN147,$39,,DN962,157.45
,DN155,$75,,DN960,278.74
,DN159,$30,,DN957,0
,DN167,$113,,DN951,533.08
,DN192,$16,,DN948,53.46
,DN1G0,$19,,DN940,171.32
,DN1J1,$384,,DN935,201.97
,DN1N4,$67,,DN934,825.68
,DN1V6,$87,,DN928,68.85
,DN260,$235,,DN927,295.77
,DN270,$39,,DN926,50.04
,DN2G6,$240,,DN924,326.44
,DN2G7,$240,,DN922,262.8
,DN2N2,$344,,DN920,0
,DN2R9,$64,,DN916,1181.3
,DN2T9,$116,,DN912,250.82
,DN2U8,$36,,DN906,255.86
,DN2X4,$778,,DP1F7,150.5
,DN300,$94,,DP1F6,228.3
,DN306,$131,,DP1F5,768.44
,DN322,$89,,DP1F4,324.45
,DN380,$52,,DP1F3,158.22
,DN3B2,$52,,DP1F2,283.86
,DN3G9,$48,,DP1F1,174.51
,DN3H8,$31,,DP1F0,193.95
,DN3J7,$49,,DP1E9,259.56
,DN3N2,$69,,DP1E8,247.41
,DN447,$125,,DP1E7,385.2
,DN454,$126,,DP1E6,259.56
,DN468,$187,,DP1E5,163.08
,DN474,$17,,DP1E4,242.55
,DN479,$50,,DP1E3,132.21
,DN482,$300,,DP1E2,431.52
,DN483,$300,,DP1E1,46.98
,DN4A6,$63,,DP1D8,80.78
,DN4C9,$418,,DP1C8,30.13
,DN4F0,$109,,DP1C7,253.58
,DN4F7,$156,,DP1C6,310.92
,DN4N4,$135,,DP1C3,161.96
,DN4N9,$191,,DP1C0,270.9
,DN4P7,$112,,DP1B7,216.18
,DN4Q2,$20,,DP1B4,20
,DN4V9,$144,,DP1B0,237.67
,DN507,$92,,DP1A8,176.6
,DN528,$40,,DP1A7,134.04
,DN543,"$3,635",,DP1A4,90.55
